"","date","race_id","start","finish","points","drive_id","team_id","track_type","chassis_engine_tires"
"1","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","2","1","53","Josef_Newgarden","Roger_Penske","S","D/C/F"
"2","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","4","2","40","Scott_Dixon","Chip_Ganassi","S","D/H/F"
"3","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","1","3","37","Will_Power","Roger_Penske","S","D/C/F"
"4","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","3","4","33","Felix_Rosenqvist","Chip_Ganassi","S","D/H/F"
"5","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","6","5","31","Alexander_Rossi","Andretti_Autosport","S","D/H/F"
"6","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","9","6","28","James_Hinchcliffe","Schmidt_Peterson_Motorsports","S","D/H/F"
"7","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","13","7","26","Simon_Pagenaud","Roger_Penske","S","D/C/F"
"8","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","11","8","24","Colton_Herta","Harding_Steinbrenner_Racing","S","D/H/F"
"9","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","23","9","22","Santino_Ferrucci","Dale_Coyne","S","D/H/F"
"10","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","7","10","20","Jack_Harvey","Meyer_Shank_Racing_/_Arrow_SPM","S","D/H/F"
"11","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","16","11","19","Spencer_Pigot","Ed_Carpenter_Racing","S","D/C/F"
"12","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","10","12","18","Graham_Rahal","Rahal_Letterman_Lanigan_Racing","S","D/H/F"
"13","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","17","13","17","Marco_Andretti","AHA_/_Marco_&_Curb-Agajanian","S","D/H/F"
"14","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","14","14","16","Zach_Veach","Andretti_Autosport","S","D/H/F"
"15","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","21","15","15","Tony_Kanaan","A.J._Foyt","S","D/C/F"
"16","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","24","16","14","Max_Chilton","Trevor_Carlin","S","D/C/F"
"17","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","8","17","13","Charlie_Kimball","Trevor_Carlin","S","D/C/F"
"18","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","12","18","12","Ben_Hanley","DragonSpeed","S","D/C/F"
"19","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","20","19","11","Takuma_Sato","Rahal_Letterman_Lanigan_Racing","S","D/H/F"
"20","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","18","20","10","Marcus_Ericsson","Schmidt_Peterson_Motorsports","S","D/H/F"
"21","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","15","21","9","Ed_Jones","Ed_Carpenter_Racing","S","D/C/F"
"22","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","22","22","8","Matheus_Leist","A.J._Foyt","S","D/C/F"
"23","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","5","23","7","Ryan_Hunter-Reay","Andretti_Autosport","S","D/H/F"
"24","03/10/19","2019_Firestone_Grand_Prix_of_St_Petersburg","19","24","6","Sebastien_Bourdais","Dale_Coyne_w/Vasser-Sullivan","S","D/H/F"
"25","03/24/19","2019_IndyCar_Classic","4","1","51","Colton_Herta","Harding_Steinbrenner_Racing","R","D/H/F"
"26","03/24/19","2019_IndyCar_Classic","7","2","40","Josef_Newgarden","Roger_Penske","R","D/C/F"
"27","03/24/19","2019_IndyCar_Classic","3","3","35","Ryan_Hunter-Reay","Andretti_Autosport","R","D/H/F"
"28","03/24/19","2019_IndyCar_Classic","10","4","32","Graham_Rahal","Rahal_Letterman_Lanigan_Racing","R","D/H/F"
"29","03/24/19","2019_IndyCar_Classic","17","5","30","Sebastien_Bourdais","Dale_Coyne_w/Vasser-Sullivan","R","D/H/F"
"30","03/24/19","2019_IndyCar_Classic","20","6","28","Marco_Andretti","AHA_/_Marco_&_Curb-Agajanian","R","D/H/F"
"31","03/24/19","2019_IndyCar_Classic","14","7","26","Takuma_Sato","Rahal_Letterman_Lanigan_Racing","R","D/H/F"
"32","03/24/19","2019_IndyCar_Classic","8","8","24","Patricio_Oward","Trevor_Carlin","R","D/C/F"
"33","03/24/19","2019_IndyCar_Classic","2","9","22","Alexander_Rossi","Andretti_Autosport","R","D/H/F"
"34","03/24/19","2019_IndyCar_Classic","23","10","20","Jack_Harvey","Meyer_Shank_Racing_/_Arrow_SPM","R","D/H/F"
"35","03/24/19","2019_IndyCar_Classic","19","11","19","Spencer_Pigot","Ed_Carpenter_Racing","R","D/C/F"
"36","03/24/19","2019_IndyCar_Classic","24","12","18","Tony_Kanaan","A.J._Foyt","R","D/C/F"
"37","03/24/19","2019_IndyCar_Classic","6","13","17","Scott_Dixon","Chip_Ganassi","R","D/H/F"
"38","03/24/19","2019_IndyCar_Classic","18","14","16","Ed_Jones","Ed_Carpenter_Racing","R","D/C/F"
"39","03/24/19","2019_IndyCar_Classic","16","15","15","Marcus_Ericsson","Schmidt_Peterson_Motorsports","R","D/H/F"
"40","03/24/19","2019_IndyCar_Classic","15","16","14","James_Hinchcliffe","Schmidt_Peterson_Motorsports","R","D/H/F"
"41","03/24/19","2019_IndyCar_Classic","12","17","13","Matheus_Leist","A.J._Foyt","R","D/C/F"
"42","03/24/19","2019_IndyCar_Classic","21","18","12","Kyle_Kaiser","Juncos_Racing","R","D/C/F"
"43","03/24/19","2019_IndyCar_Classic","22","19","11","Simon_Pagenaud","Roger_Penske","R","D/C/F"
"44","03/24/19","2019_IndyCar_Classic","11","20","10","Santino_Ferrucci","Dale_Coyne","R","D/H/F"
"45","03/24/19","2019_IndyCar_Classic","13","21","9","Max_Chilton","Trevor_Carlin","R","D/C/F"
"46","03/24/19","2019_IndyCar_Classic","9","22","8","Zach_Veach","Andretti_Autosport","R","D/H/F"
"47","03/24/19","2019_IndyCar_Classic","5","23","7","Felix_Rosenqvist","Chip_Ganassi","R","D/H/F"
"48","03/24/19","2019_IndyCar_Classic","1","24","10","Will_Power","Roger_Penske","R","D/C/F"
"49","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","1","1","54","Takuma_Sato","Rahal_Letterman_Lanigan_Racing","R","D/H/F"
"50","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","3","2","41","Scott_Dixon","Chip_Ganassi","R","D/H/F"
"51","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","5","3","36","Sebastien_Bourdais","Dale_Coyne_w/Vasser-Sullivan","R","D/H/F"
"52","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","16","4","32","Josef_Newgarden","Roger_Penske","R","D/C/F"
"53","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","8","5","31","Alexander_Rossi","Andretti_Autosport","R","D/H/F"
"54","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","4","6","29","James_Hinchcliffe","Schmidt_Peterson_Motorsports","R","D/H/F"
"55","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","20","7","26","Marcus_Ericsson","Schmidt_Peterson_Motorsports","R","D/H/F"
"56","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","11","8","24","Ryan_Hunter-Reay","Andretti_Autosport","R","D/H/F"
"57","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","14","9","22","Simon_Pagenaud","Roger_Penske","R","D/C/F"
"58","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","17","10","20","Felix_Rosenqvist","Chip_Ganassi","R","D/H/F"
"59","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","7","11","19","Will_Power","Roger_Penske","R","D/C/F"
"60","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","23","12","18","Zach_Veach","Andretti_Autosport","R","D/H/F"
"61","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","12","13","17","Jack_Harvey","Meyer_Shank_Racing_/_Arrow_SPM","R","D/H/F"
"62","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","13","14","16","Marco_Andretti","AHA_/_Marco_&_Curb-Agajanian","R","D/H/F"
"63","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","10","15","15","Santino_Ferrucci","Dale_Coyne","R","D/H/F"
"64","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","18","16","14","Patricio_Oward","Trevor_Carlin","R","D/C/F"
"65","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","6","17","13","Spencer_Pigot","Ed_Carpenter_Racing","R","D/C/F"
"66","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","19","18","12","Tony_Kanaan","A.J._Foyt","R","D/C/F"
"67","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","21","19","11","Ed_Jones","Ed_Carpenter_Racing","R","D/C/F"
"68","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","15","20","10","Matheus_Leist","A.J._Foyt","R","D/C/F"
"69","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","24","21","9","Ben_Hanley","DragonSpeed","R","D/C/F"
"70","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","22","22","8","Max_Chilton","Trevor_Carlin","R","D/C/F"
"71","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","2","23","8","Graham_Rahal","Rahal_Letterman_Lanigan_Racing","R","D/H/F"
"72","04/07/19","2019_Honda_Indy_Grand_Prix_of_Alabama","9","24","6","Colton_Herta","Harding_Steinbrenner_Racing","R","D/H/F"
"73","04/14/19","2019_Acura_Grand_Prix_of_Long_Beach","1","1","54","Alexander_Rossi","Andretti_Autosport","S","D/H/F"
"74","04/14/19","2019_Acura_Grand_Prix_of_Long_Beach","4","2","41","Josef_Newgarden","Roger_Penske","S","D/C/F"
"75","04/14/19","2019_Acura_Grand_Prix_of_Long_Beach","2","3","35","Scott_Dixon","Chip_Ganassi","S","D/H/F"
"76","04/14/19","2019_Acura_Grand_Prix_of_Long_Beach","6","4","32","Graham_Rahal","Rahal_Letterman_Lanigan_Racing","S","D/H/F"
"77","04/14/19","2019_Acura_Grand_Prix_of_Long_Beach","7","5","30","Ryan_Hunter-Reay","Andretti_Autosport","S","D/H/F"
"78","04/14/19","2019_Acura_Grand_Prix_of_Long_Beach","5","6","28","Simon_Pagenaud","Roger_Penske","S","D/C/F"
"79","04/14/19","2019_Acura_Grand_Prix_of_Long_Beach","3","7","27","Will_Power","Roger_Penske","S","D/C/F"
"80","04/14/19","2019_Acura_Grand_Prix_of_Long_Beach","8","8","25","Takuma_Sato","Rahal_Letterman_Lanigan_Racing","S","D/H/F"
"81","04/14/19","2019_Acura_Grand_Prix_of_Long_Beach","15","9","22","James_Hinchcliffe","Schmidt_Peterson_Motorsports","S","D/H/F"
